Timestamp,Participant ID (P#),"Comparing the two methods, which one did you prefer for the task of designing an assignment question?",Please explain your preference,"If the ADATA system were available to you, how likely would you be to use it in your regular TA duties?",Do you think regular use of this platform would: [Improve my question design skills over time],Do you think regular use of this platform would: [Help me learn pedagogical best practices],Do you think regular use of this platform would: [Make me too dependent on AI],"Any other comments, suggestions, or feedback?"
11/8/2025 10:04:14,P10,Strongly prefer WITH the ADATA platform,the design of the prompts help much but it need to design for each course at least one time,5,Unsure,Unsure,Probably No,
11/8/2025 10:10:46,P2,No preference,,3,Probably No,Probably Yes,Unsure,
11/8/2025 10:12:44,P1,Somewhat prefer WITH the ADATA platform,استفاده از پلتفرم در کنار طراحی سوال و استفاده کردن از ایده هایی که تولید میکنه.,4,Probably Yes,Unsure,Unsure,
11/8/2025 10:18:31,P3,No preference,"I am not sure which one to decide, because whila ADATA platform makes it really easy and straightforward, i feel i have more options and flexibility without it and for now i have more trust in prompting known LLMs like gemini or gpt",4,Probably No,Unsure,Probably Yes,
11/8/2025 10:21:29,P4,Somewhat prefer WITH the ADATA platform,I prefer ADATA since I think it was good in innovation and diversity of the created problems.,4,Probably Yes,Unsure,Unsure,"a bit work in UX still needed. I was experiencing some bugs, however I was conveniet to come up with a good question."
11/8/2025 10:22:33,P5,Somewhat prefer WITHOUT the ADATA platform,GPT5,2,Probably Yes,Definitely Yes,Definitely Yes,"The competitors of this ai are too strong and distinguished and and it would require me to not be skeptical, if i want to leave them for the new ADATA design"
11/8/2025 10:24:51,P6,Somewhat prefer WITH the ADATA platform,ADATA platform accelerated the process of question design,5,Probably No,Probably Yes,Probably No,
11/14/2025 8:13:22,P7,Somewhat prefer WITH the ADATA platform,Adata streamlins the process better ,4,Definitely Yes,Probably Yes,Probably No,
11/14/2025 8:52:25,P12,Strongly prefer WITHOUT the ADATA platform,3 reasons i said earlier ,5,Probably Yes,Unsure,Unsure,
11/14/2025 9:10:36,P11,Strongly prefer WITH the ADATA platform,,5,Definitely Yes,Definitely Yes,Probably No,
11/14/2025 16:46:53,P8,Strongly prefer WITH the ADATA platform,"I liked the diverse generation of the ideas in brainstorming, also the pdf generation. their integration of all in one was interesting for me.",5,Probably Yes,Unsure,Probably Yes,
11/14/2025 17:57:09,P13,Strongly prefer WITH the ADATA platform,,4,Probably Yes,Probably Yes,Definitely Yes,
11/14/2025 17:57:59,p14,Somewhat prefer WITH the ADATA platform,,5,Definitely Yes,Probably Yes,Unsure,
11/14/2025 17:58:32,P15,Strongly prefer WITH the ADATA platform,,5,Unsure,Probably Yes,Probably No,
11/14/2025 17:59:07,P16,Strongly prefer WITH the ADATA platform,,3,Definitely Yes,Probably Yes,Probably No,
11/14/2025 23:06:01,P9,Strongly prefer WITH the ADATA platform,"This platform helps a lot with idea generation and brainstorming. It can be used to increase the quality of questions and make them more innovative. Because of that and the fact that it reduced my spend time for question design, I would prefer to use this platform in future.",4,Definitely Yes,Definitely Yes,Unsure,
,,,,4.1875,,,,